NUMERO;COD_LUGAR_ORIGEN;COD_LUGAR_DESTINO;FECHA_MOVIMIENTO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD
4874973;3079;4805;TO_DATE('2014-03-14','YYYY-MM-DD');62;18;10;
1368747;2297;4763;TO_DATE('2013-10-07','YYYY-MM-DD');67;8;3;
3203768;3746;5309;TO_DATE('2013-06-10','YYYY-MM-DD');72;13;9;
6896059;3746;6028;TO_DATE('2013-06-02','YYYY-MM-DD');72;13;2;
7962335;3947;5427;TO_DATE('2013-06-12','YYYY-MM-DD');72;13;2;
5108151;3947;5349;TO_DATE('2013-06-02','YYYY-MM-DD');72;13;5;
1489164;1237;4540;TO_DATE('2013-09-27','YYYY-MM-DD');64;11;3;
9732646;1237;6241;TO_DATE('2013-09-24','YYYY-MM-DD');61;26;8;
9180574;633;5728;TO_DATE('2013-10-06','YYYY-MM-DD');62;17;1;
5748778;633;6201;TO_DATE('2013-10-01','YYYY-MM-DD');62;17;6;
6659636;633;4556;TO_DATE('2013-10-06','YYYY-MM-DD');61;26;10;
9955595;633;6273;TO_DATE('2013-10-06','YYYY-MM-DD');62;17;6;
8336520;3334;5897;TO_DATE('2013-07-23','YYYY-MM-DD');11;25;7;
2997150;3334;5477;TO_DATE('2013-07-15','YYYY-MM-DD');41;12;6;
1606038;3334;5133;TO_DATE('2013-07-18','YYYY-MM-DD');11;25;5;
8807682;3334;5492;TO_DATE('2013-07-25','YYYY-MM-DD');40;30;7;
8629879;3334;5817;TO_DATE('2013-07-21','YYYY-MM-DD');41;12;4;
3825435;2009;5425;TO_DATE('2013-08-28','YYYY-MM-DD');54;13;8;
7165393;2123;5315;TO_DATE('2013-08-24','YYYY-MM-DD');54;13;8;
6956582;2123;5494;TO_DATE('2013-09-03','YYYY-MM-DD');54;13;10;
9038233;2448;5457;TO_DATE('2013-09-02','YYYY-MM-DD');54;13;7;
1249293;2448;6406;TO_DATE('2013-09-01','YYYY-MM-DD');54;13;1;
3639993;2706;5331;TO_DATE('2014-01-20','YYYY-MM-DD');4;24;9;
5681249;2706;5359;TO_DATE('2014-02-01','YYYY-MM-DD');4;24;4;
9186032;3041;6101;TO_DATE('2013-06-28','YYYY-MM-DD');16;8;3;
9276092;3041;5286;TO_DATE('2013-07-05','YYYY-MM-DD');16;8;2;
4769705;3524;5995;TO_DATE('2013-10-22','YYYY-MM-DD');43;28;9;
7552966;3524;5172;TO_DATE('2013-10-23','YYYY-MM-DD');3;26;3;
6537898;3524;4504;TO_DATE('2013-10-20','YYYY-MM-DD');3;26;10;
2661235;3524;6470;TO_DATE('2013-10-20','YYYY-MM-DD');3;26;2;
3005305;3361;5863;TO_DATE('2013-05-07','YYYY-MM-DD');14;12;6;
6087950;3361;6333;TO_DATE('2013-05-10','YYYY-MM-DD');45;21;6;
2503816;1559;6004;TO_DATE('2013-07-15','YYYY-MM-DD');42;28;8;
599580;1559;4821;TO_DATE('2013-07-12','YYYY-MM-DD');38;22;8;
619140;1559;5775;TO_DATE('2013-07-11','YYYY-MM-DD');53;15;9;
5882632;1559;5456;TO_DATE('2013-07-19','YYYY-MM-DD');53;15;7;
2131995;1559;5028;TO_DATE('2013-07-17','YYYY-MM-DD');72;25;6;
520943;1559;5531;TO_DATE('2013-07-12','YYYY-MM-DD');58;16;6;
7606218;1559;5829;TO_DATE('2013-07-21','YYYY-MM-DD');42;28;8;
9098500;1559;5407;TO_DATE('2013-07-20','YYYY-MM-DD');58;16;2;
3103138;1559;4922;TO_DATE('2013-07-09','YYYY-MM-DD');53;15;5;
6370880;1559;5908;TO_DATE('2013-07-12','YYYY-MM-DD');58;16;7;
7914564;3369;4989;TO_DATE('2014-02-11','YYYY-MM-DD');8;19;6;
2837865;194;6428;TO_DATE('2013-08-05','YYYY-MM-DD');58;30;6;
613840;194;5057;TO_DATE('2013-08-15','YYYY-MM-DD');58;30;4;
7936660;194;5410;TO_DATE('2013-08-16','YYYY-MM-DD');58;30;5;
1581505;1213;4956;TO_DATE('2013-06-06','YYYY-MM-DD');9;17;5;
2528741;1213;6009;TO_DATE('2013-06-14','YYYY-MM-DD');9;17;4;
9674068;1213;6051;TO_DATE('2013-06-15','YYYY-MM-DD');51;19;7;
8916494;1213;4615;TO_DATE('2013-06-04','YYYY-MM-DD');5;29;8;
710630;4076;6382;TO_DATE('2013-10-12','YYYY-MM-DD');30;20;8;
6411203;4245;5047;TO_DATE('2013-07-01','YYYY-MM-DD');70;7;7;
4733198;4245;4690;TO_DATE('2013-06-28','YYYY-MM-DD');69;1;10;
7974093;185;5863;TO_DATE('2014-01-21','YYYY-MM-DD');50;18;2;
7898319;3642;5912;TO_DATE('2014-02-01','YYYY-MM-DD');69;27;4;
9970924;3642;6160;TO_DATE('2014-01-22','YYYY-MM-DD');69;27;2;
4980436;3642;5873;TO_DATE('2014-01-30','YYYY-MM-DD');69;27;7;
692499;3642;5241;TO_DATE('2014-01-19','YYYY-MM-DD');29;17;6;
3125748;3642;4984;TO_DATE('2014-01-26','YYYY-MM-DD');21;16;9;
5836270;3642;5551;TO_DATE('2014-01-21','YYYY-MM-DD');50;18;1;
5665142;3642;5120;TO_DATE('2014-02-01','YYYY-MM-DD');29;17;10;
1489746;3450;5569;TO_DATE('2014-01-24','YYYY-MM-DD');67;6;6;
950207;1109;6450;TO_DATE('2014-04-28','YYYY-MM-DD');28;19;1;
3848284;1109;6183;TO_DATE('2014-04-22','YYYY-MM-DD');28;19;8;
1350666;2202;5733;TO_DATE('2014-04-16','YYYY-MM-DD');28;19;3;
8998284;2202;6143;TO_DATE('2014-04-26','YYYY-MM-DD');28;19;2;
1174961;1084;5066;TO_DATE('2014-01-22','YYYY-MM-DD');59;28;3;
1174104;1084;5953;TO_DATE('2014-01-23','YYYY-MM-DD');66;28;5;
1193091;1084;5541;TO_DATE('2014-01-30','YYYY-MM-DD');66;28;2;
1646014;1084;5185;TO_DATE('2014-01-28','YYYY-MM-DD');56;30;5;
737588;1084;4742;TO_DATE('2014-01-25','YYYY-MM-DD');59;28;2;
7265866;2408;5757;TO_DATE('2014-03-18','YYYY-MM-DD');33;19;8;
9799081;2238;5636;TO_DATE('2014-03-15','YYYY-MM-DD');33;27;6;
971875;2238;5632;TO_DATE('2014-03-15','YYYY-MM-DD');33;27;7;
1748559;3667;5805;TO_DATE('2014-02-02','YYYY-MM-DD');25;15;8;
3088844;3667;6128;TO_DATE('2014-01-30','YYYY-MM-DD');18;30;10;
1963803;3667;4743;TO_DATE('2014-02-04','YYYY-MM-DD');18;30;1;
3553394;3667;5649;TO_DATE('2014-02-03','YYYY-MM-DD');25;15;5;
1499149;1049;5128;TO_DATE('2014-02-07','YYYY-MM-DD');25;15;10;
7775166;1049;4687;TO_DATE('2014-02-06','YYYY-MM-DD');18;30;6;
9861551;3657;5921;TO_DATE('2013-08-02','YYYY-MM-DD');72;13;6;
8178276;3657;4927;TO_DATE('2013-07-30','YYYY-MM-DD');16;17;10;
2643013;3657;6496;TO_DATE('2013-08-09','YYYY-MM-DD');9;11;7;
4323166;3657;5637;TO_DATE('2013-08-02','YYYY-MM-DD');72;13;10;
2778326;3657;6116;TO_DATE('2013-08-10','YYYY-MM-DD');9;11;3;
5584095;3657;6061;TO_DATE('2013-08-03','YYYY-MM-DD');16;17;8;
2162244;3657;5326;TO_DATE('2013-08-06','YYYY-MM-DD');72;13;2;
8072933;3657;6231;TO_DATE('2013-07-30','YYYY-MM-DD');9;11;8;
3002507;1627;6292;TO_DATE('2014-02-28','YYYY-MM-DD');13;3;9;
4076820;1627;6153;TO_DATE('2014-02-16','YYYY-MM-DD');13;3;5;
7597965;482;5761;TO_DATE('2013-05-22','YYYY-MM-DD');54;30;1;
1041917;482;4542;TO_DATE('2013-05-31','YYYY-MM-DD');54;30;3;
7869047;296;4575;TO_DATE('2013-05-26','YYYY-MM-DD');53;8;7;
7464333;296;6345;TO_DATE('2013-05-21','YYYY-MM-DD');57;9;5;
5865301;2047;4798;TO_DATE('2014-03-08','YYYY-MM-DD');65;23;1;
725231;740;5996;TO_DATE('2013-07-09','YYYY-MM-DD');70;8;10;
7315377;740;5078;TO_DATE('2013-07-03','YYYY-MM-DD');70;8;8;
9482125;1627;6223;TO_DATE('2013-12-01','YYYY-MM-DD');36;25;3;
1308823;1627;4704;TO_DATE('2013-12-01','YYYY-MM-DD');43;29;6;
9910752;1627;4615;TO_DATE('2013-12-03','YYYY-MM-DD');43;29;1;
2010505;1627;4639;TO_DATE('2013-12-11','YYYY-MM-DD');43;29;5;
1003965;805;4590;TO_DATE('2014-01-04','YYYY-MM-DD');56;23;8;
4583082;805;4637;TO_DATE('2014-01-03','YYYY-MM-DD');52;22;8;
2426228;805;4665;TO_DATE('2013-12-26','YYYY-MM-DD');56;23;1;
871120;805;4909;TO_DATE('2013-12-31','YYYY-MM-DD');56;23;8;
2628368;3663;5718;TO_DATE('2013-10-26','YYYY-MM-DD');52;26;6;
9191229;3663;6374;TO_DATE('2013-10-31','YYYY-MM-DD');52;26;7;
3666548;2006;5095;TO_DATE('2013-12-18','YYYY-MM-DD');23;6;5;
7438359;2006;5871;TO_DATE('2013-12-27','YYYY-MM-DD');19;6;7;
5420892;2006;6095;TO_DATE('2013-12-28','YYYY-MM-DD');45;3;7;
4115627;2006;6080;TO_DATE('2013-12-20','YYYY-MM-DD');23;6;4;
8034087;2006;4983;TO_DATE('2013-12-18','YYYY-MM-DD');9;5;3;
3909950;2006;5926;TO_DATE('2013-12-20','YYYY-MM-DD');9;5;1;
9573147;2006;5480;TO_DATE('2013-12-23','YYYY-MM-DD');19;6;10;
6472971;1467;6441;TO_DATE('2013-12-19','YYYY-MM-DD');55;15;3;
9974760;1467;6184;TO_DATE('2013-12-26','YYYY-MM-DD');65;24;7;
6716035;2925;4768;TO_DATE('2014-04-25','YYYY-MM-DD');41;6;4;
8794058;3148;5380;TO_DATE('2014-02-24','YYYY-MM-DD');65;26;7;
7573996;3148;5053;TO_DATE('2014-02-25','YYYY-MM-DD');62;13;4;
8138909;3148;5912;TO_DATE('2014-03-01','YYYY-MM-DD');64;23;10;
9256785;3148;6107;TO_DATE('2014-03-01','YYYY-MM-DD');62;13;10;
1852502;2073;5035;TO_DATE('2014-02-28','YYYY-MM-DD');64;23;3;
6270030;2073;4676;TO_DATE('2014-02-19','YYYY-MM-DD');65;26;10;
2456954;2073;4802;TO_DATE('2014-02-26','YYYY-MM-DD');65;26;9;
2476823;2073;5457;TO_DATE('2014-02-24','YYYY-MM-DD');64;23;6;
1629958;2073;5523;TO_DATE('2014-02-17','YYYY-MM-DD');64;23;7;
4461409;2073;5241;TO_DATE('2014-02-26','YYYY-MM-DD');64;23;8;
2025820;3173;5604;TO_DATE('2013-09-12','YYYY-MM-DD');24;28;9;
7230394;3173;4955;TO_DATE('2013-09-06','YYYY-MM-DD');29;12;6;
7455368;3173;6282;TO_DATE('2013-09-13','YYYY-MM-DD');24;28;1;
7876301;3173;6284;TO_DATE('2013-09-02','YYYY-MM-DD');7;24;3;
1096718;3173;6346;TO_DATE('2013-09-06','YYYY-MM-DD');24;28;8;
765451;1219;4810;TO_DATE('2013-09-02','YYYY-MM-DD');29;12;9;
746414;3817;5854;TO_DATE('2014-04-25','YYYY-MM-DD');47;10;2;
8358413;3817;5507;TO_DATE('2014-04-19','YYYY-MM-DD');9;9;9;
2738334;3817;6074;TO_DATE('2014-04-17','YYYY-MM-DD');9;9;4;
428232;3817;5902;TO_DATE('2014-04-18','YYYY-MM-DD');47;10;10;
1929417;1405;6334;TO_DATE('2014-04-26','YYYY-MM-DD');47;10;10;
540406;1405;5308;TO_DATE('2014-04-16','YYYY-MM-DD');47;10;4;
2730182;1405;5731;TO_DATE('2014-04-17','YYYY-MM-DD');9;9;5;
906651;3046;6450;TO_DATE('2014-01-31','YYYY-MM-DD');40;25;10;
8160529;3046;6106;TO_DATE('2014-02-03','YYYY-MM-DD');17;20;2;
4307641;1237;5558;TO_DATE('2013-12-09','YYYY-MM-DD');61;27;10;
1893106;1237;5261;TO_DATE('2013-12-15','YYYY-MM-DD');61;27;10;
6237858;3369;6232;TO_DATE('2013-09-02','YYYY-MM-DD');15;22;10;
6946251;3369;4555;TO_DATE('2013-08-26','YYYY-MM-DD');40;29;1;
5298671;1391;4521;TO_DATE('2013-05-25','YYYY-MM-DD');65;30;3;
4276294;1391;6429;TO_DATE('2013-05-20','YYYY-MM-DD');43;13;9;
8888104;231;5614;TO_DATE('2013-11-11','YYYY-MM-DD');39;15;1;
7003147;2355;5223;TO_DATE('2014-02-06','YYYY-MM-DD');51;20;5;
6041341;2355;6429;TO_DATE('2014-02-08','YYYY-MM-DD');51;20;1;
5477640;835;6367;TO_DATE('2013-07-09','YYYY-MM-DD');59;28;8;
9290292;412;6495;TO_DATE('2013-06-24','YYYY-MM-DD');71;8;8;
3579298;412;5521;TO_DATE('2013-07-02','YYYY-MM-DD');71;8;3;
422630;412;4871;TO_DATE('2013-06-30','YYYY-MM-DD');68;2;6;
5521557;574;6430;TO_DATE('2013-06-30','YYYY-MM-DD');68;2;2;
7855058;574;4626;TO_DATE('2013-06-30','YYYY-MM-DD');71;8;7;
4380443;574;5752;TO_DATE('2013-07-04','YYYY-MM-DD');68;2;7;
7544235;574;6153;TO_DATE('2013-06-29','YYYY-MM-DD');71;8;7;
9761530;664;6199;TO_DATE('2013-07-02','YYYY-MM-DD');68;2;7;
4451663;664;4716;TO_DATE('2013-07-01','YYYY-MM-DD');68;2;9;
2241925;664;4905;TO_DATE('2013-07-03','YYYY-MM-DD');69;2;2;
6353316;664;6298;TO_DATE('2013-06-24','YYYY-MM-DD');72;2;9;
6088294;833;5929;TO_DATE('2014-04-04','YYYY-MM-DD');7;19;7;
3772408;833;4952;TO_DATE('2014-03-30','YYYY-MM-DD');15;21;7;
9460767;2782;5134;TO_DATE('2013-06-02','YYYY-MM-DD');14;8;9;
6180228;2782;5119;TO_DATE('2013-05-26','YYYY-MM-DD');24;5;4;
2170782;2782;5475;TO_DATE('2013-05-28','YYYY-MM-DD');24;5;9;
6470326;2782;5838;TO_DATE('2013-05-27','YYYY-MM-DD');24;5;4;
5471162;2782;5739;TO_DATE('2013-06-02','YYYY-MM-DD');14;8;8;
9994221;2106;5825;TO_DATE('2013-11-02','YYYY-MM-DD');19;7;10;
4667107;2106;4969;TO_DATE('2013-10-31','YYYY-MM-DD');19;7;6;
4003766;1332;5705;TO_DATE('2013-10-22','YYYY-MM-DD');58;24;2;
1458214;1332;5573;TO_DATE('2013-10-18','YYYY-MM-DD');58;24;2;
7414444;3039;6011;TO_DATE('2013-10-12','YYYY-MM-DD');56;9;7;
548538;3039;5499;TO_DATE('2013-10-06','YYYY-MM-DD');56;9;8;
7781157;3039;5009;TO_DATE('2013-10-06','YYYY-MM-DD');70;1;9;
7138937;3039;6050;TO_DATE('2013-10-06','YYYY-MM-DD');56;9;10;
6456571;3246;6042;TO_DATE('2014-04-02','YYYY-MM-DD');2;8;10;
7842237;3246;5119;TO_DATE('2014-04-07','YYYY-MM-DD');60;4;10;
6970351;3246;5716;TO_DATE('2014-04-14','YYYY-MM-DD');60;4;3;
8902528;3246;6055;TO_DATE('2014-04-12','YYYY-MM-DD');4;10;2;
8684647;3246;6289;TO_DATE('2014-04-05','YYYY-MM-DD');2;8;6;
499610;3246;5639;TO_DATE('2014-04-06','YYYY-MM-DD');4;10;6;
5989306;3246;6207;TO_DATE('2014-04-06','YYYY-MM-DD');4;10;3;
5873889;2470;5902;TO_DATE('2013-10-28','YYYY-MM-DD');23;4;1;
1329888;2470;4544;TO_DATE('2013-10-24','YYYY-MM-DD');23;4;7;
1346768;2665;5682;TO_DATE('2014-03-28','YYYY-MM-DD');43;8;8;
1718701;2665;5833;TO_DATE('2014-04-01','YYYY-MM-DD');25;7;3;
9061558;3060;5119;TO_DATE('2013-12-17','YYYY-MM-DD');72;7;2;
6467025;3060;5813;TO_DATE('2013-12-24','YYYY-MM-DD');72;7;9;
4930421;3060;5328;TO_DATE('2013-12-25','YYYY-MM-DD');71;10;10;
707996;1653;4873;TO_DATE('2013-07-06','YYYY-MM-DD');24;2;8;
1026260;1653;5905;TO_DATE('2013-07-04','YYYY-MM-DD');72;7;3;
8321544;1653;4572;TO_DATE('2013-07-01','YYYY-MM-DD');72;7;8;
1940768;3017;5651;TO_DATE('2013-05-27','YYYY-MM-DD');53;20;7;
8328952;3017;5185;TO_DATE('2013-05-27','YYYY-MM-DD');53;20;6;
5839514;3017;5434;TO_DATE('2013-05-18','YYYY-MM-DD');53;20;10;
5851412;2703;6212;TO_DATE('2013-09-06','YYYY-MM-DD');53;11;4;
9656422;4269;5023;TO_DATE('2013-09-07','YYYY-MM-DD');54;22;9;
4151655;4269;4903;TO_DATE('2013-09-10','YYYY-MM-DD');54;22;3;
7364522;4269;5820;TO_DATE('2013-09-10','YYYY-MM-DD');54;22;10;
8625088;4300;5851;TO_DATE('2013-12-21','YYYY-MM-DD');60;17;6;
1895604;4300;5267;TO_DATE('2013-12-25','YYYY-MM-DD');60;17;10;
7472175;4300;5888;TO_DATE('2013-12-18','YYYY-MM-DD');51;11;10;
7780313;4300;6125;TO_DATE('2013-12-22','YYYY-MM-DD');53;22;4;
8604226;4300;6424;TO_DATE('2013-12-20','YYYY-MM-DD');51;11;7;
3888792;2832;5751;TO_DATE('2013-12-06','YYYY-MM-DD');64;8;9;
3194880;1945;4741;TO_DATE('2013-08-19','YYYY-MM-DD');21;24;1;
3261339;1945;5358;TO_DATE('2013-08-07','YYYY-MM-DD');46;27;4;
1120006;1945;5306;TO_DATE('2013-08-08','YYYY-MM-DD');45;25;4;
3036591;1945;5661;TO_DATE('2013-08-15','YYYY-MM-DD');46;27;8;
1318585;1945;4879;TO_DATE('2013-08-14','YYYY-MM-DD');46;27;5;
5563719;1945;5661;TO_DATE('2013-08-12','YYYY-MM-DD');21;24;7;
491752;2254;6174;TO_DATE('2013-05-25','YYYY-MM-DD');68;10;10;
774511;2254;5439;TO_DATE('2013-06-05','YYYY-MM-DD');37;1;1;
2445937;2254;4717;TO_DATE('2013-05-29','YYYY-MM-DD');2;8;9;
1726109;2254;6342;TO_DATE('2013-06-02','YYYY-MM-DD');68;10;6;
1177262;2254;5975;TO_DATE('2013-05-28','YYYY-MM-DD');42;7;6;
1753254;2254;6417;TO_DATE('2013-05-22','YYYY-MM-DD');2;8;2;
7200775;2254;4715;TO_DATE('2013-05-28','YYYY-MM-DD');42;7;3;
5642728;4042;5306;TO_DATE('2014-01-18','YYYY-MM-DD');44;22;6;
9115831;4042;5477;TO_DATE('2014-01-18','YYYY-MM-DD');44;22;6;
9972534;4042;4898;TO_DATE('2014-01-27','YYYY-MM-DD');44;22;9;
5337541;4045;5810;TO_DATE('2014-01-30','YYYY-MM-DD');44;22;10;
7266574;4045;4614;TO_DATE('2014-01-23','YYYY-MM-DD');44;22;4;
755893;4045;4738;TO_DATE('2014-01-20','YYYY-MM-DD');40;13;4;
8117765;3574;5030;TO_DATE('2013-07-02','YYYY-MM-DD');68;8;9;
6499064;3574;5219;TO_DATE('2013-07-05','YYYY-MM-DD');68;8;7;
2230328;156;5217;TO_DATE('2013-08-05','YYYY-MM-DD');70;2;3;
5152980;156;4746;TO_DATE('2013-08-07','YYYY-MM-DD');70;2;3;
2775769;1278;4856;TO_DATE('2013-07-04','YYYY-MM-DD');56;19;10;
491430;1278;6479;TO_DATE('2013-06-23','YYYY-MM-DD');60;16;6;
2127276;1278;4897;TO_DATE('2013-07-03','YYYY-MM-DD');56;19;6;
2769875;184;5090;TO_DATE('2013-11-02','YYYY-MM-DD');71;7;9;
5128620;184;5289;TO_DATE('2013-10-30','YYYY-MM-DD');70;3;1;
7011237;4172;5339;TO_DATE('2013-05-25','YYYY-MM-DD');58;11;4;
735059;4172;6032;TO_DATE('2013-05-27','YYYY-MM-DD');45;11;10;
7202834;4172;4772;TO_DATE('2013-06-07','YYYY-MM-DD');45;11;9;
7684898;3885;5820;TO_DATE('2013-06-08','YYYY-MM-DD');45;30;5;
8006198;3885;5756;TO_DATE('2013-06-06','YYYY-MM-DD');45;30;9;
834672;3573;5512;TO_DATE('2014-04-19','YYYY-MM-DD');24;25;4;
3219220;3259;5094;TO_DATE('2013-05-27','YYYY-MM-DD');72;1;8;
5749533;3738;6113;TO_DATE('2013-05-28','YYYY-MM-DD');72;1;3;
1784665;961;5929;TO_DATE('2014-03-21','YYYY-MM-DD');3;18;3;
7238064;961;4918;TO_DATE('2014-03-21','YYYY-MM-DD');2;19;6;
6635657;961;4534;TO_DATE('2014-04-02','YYYY-MM-DD');5;12;2;
6783741;68;5597;TO_DATE('2013-09-10','YYYY-MM-DD');59;7;7;
1056047;68;6119;TO_DATE('2013-09-07','YYYY-MM-DD');47;5;7;
2716123;68;5566;TO_DATE('2013-09-11','YYYY-MM-DD');59;7;1;
8348367;68;5478;TO_DATE('2013-09-05','YYYY-MM-DD');60;9;9;
5425958;68;5204;TO_DATE('2013-09-06','YYYY-MM-DD');60;9;6;
734645;68;4940;TO_DATE('2013-09-10','YYYY-MM-DD');47;5;4;
9487702;1718;4957;TO_DATE('2013-09-12','YYYY-MM-DD');59;7;3;
7101629;2605;6186;TO_DATE('2014-04-17','YYYY-MM-DD');72;7;7;
860198;2605;4866;TO_DATE('2014-04-15','YYYY-MM-DD');72;7;2;
5056992;2605;5415;TO_DATE('2014-04-08','YYYY-MM-DD');69;8;7;
2349386;2605;5115;TO_DATE('2014-04-07','YYYY-MM-DD');72;7;2;
9871217;2605;6446;TO_DATE('2014-04-08','YYYY-MM-DD');69;8;6;
6723875;2605;5140;TO_DATE('2014-04-05','YYYY-MM-DD');68;1;8;
3519425;3536;5883;TO_DATE('2013-06-25','YYYY-MM-DD');3;25;9;
3569867;1766;5027;TO_DATE('2013-05-18','YYYY-MM-DD');9;20;4;
1747440;1766;6316;TO_DATE('2013-05-24','YYYY-MM-DD');29;30;3;
6409426;1766;5705;TO_DATE('2013-05-14','YYYY-MM-DD');29;30;4;
3576951;1766;6280;TO_DATE('2013-05-19','YYYY-MM-DD');29;30;3;
3286362;3322;5329;TO_DATE('2013-06-27','YYYY-MM-DD');72;6;9;
9971920;3322;4611;TO_DATE('2013-07-08','YYYY-MM-DD');72;6;10;
9330176;1781;5233;TO_DATE('2013-07-01','YYYY-MM-DD');72;6;4;
8525273;1849;5324;TO_DATE('2013-10-14','YYYY-MM-DD');14;8;7;
5950447;1849;5996;TO_DATE('2013-10-12','YYYY-MM-DD');16;9;1;
744850;1849;6067;TO_DATE('2013-10-07','YYYY-MM-DD');44;9;4;
608145;1849;6274;TO_DATE('2013-10-18','YYYY-MM-DD');2;3;10;
2502844;1849;5077;TO_DATE('2013-10-10','YYYY-MM-DD');2;3;9;
9615469;1849;5102;TO_DATE('2013-10-16','YYYY-MM-DD');2;3;7;
7182761;1849;5788;TO_DATE('2013-10-05','YYYY-MM-DD');14;8;1;
4934285;1849;5909;TO_DATE('2013-10-09','YYYY-MM-DD');2;3;9;
7909943;1931;5452;TO_DATE('2013-09-24','YYYY-MM-DD');56;14;5;
5525556;1931;5249;TO_DATE('2013-09-29','YYYY-MM-DD');34;28;4;
5911297;1931;5451;TO_DATE('2013-09-19','YYYY-MM-DD');56;14;6;
775024;1931;5564;TO_DATE('2013-09-26','YYYY-MM-DD');34;28;8;
3075282;1931;4784;TO_DATE('2013-10-03','YYYY-MM-DD');34;28;2;
3284950;2093;5227;TO_DATE('2013-09-28','YYYY-MM-DD');15;28;1;
1335224;2093;5428;TO_DATE('2013-09-23','YYYY-MM-DD');15;28;8;
2818330;2941;5026;TO_DATE('2013-09-22','YYYY-MM-DD');70;17;10;
333390;2866;4717;TO_DATE('2013-06-26','YYYY-MM-DD');71;10;6;
2852491;4428;5980;TO_DATE('2014-03-07','YYYY-MM-DD');71;10;5;
2788878;4428;4986;TO_DATE('2014-03-01','YYYY-MM-DD');71;10;6;
3689536;4390;5052;TO_DATE('2014-02-05','YYYY-MM-DD');64;27;4;
6449590;722;6070;TO_DATE('2014-02-16','YYYY-MM-DD');67;6;6;
7019324;3277;5115;TO_DATE('2014-04-04','YYYY-MM-DD');67;2;5;
863549;3277;5184;TO_DATE('2014-04-05','YYYY-MM-DD');67;2;8;
4304816;3277;4684;TO_DATE('2014-04-12','YYYY-MM-DD');71;1;2;
5623477;1119;4521;TO_DATE('2014-01-14','YYYY-MM-DD');31;12;9;
6577251;1410;6192;TO_DATE('2013-09-22','YYYY-MM-DD');42;16;5;
1114432;1410;6221;TO_DATE('2013-09-17','YYYY-MM-DD');42;16;7;
4609166;20;4666;TO_DATE('2014-04-06','YYYY-MM-DD');51;17;8;
5739683;20;6382;TO_DATE('2014-04-06','YYYY-MM-DD');51;17;8;
4977378;1316;4751;TO_DATE('2013-09-10','YYYY-MM-DD');23;25;9;
3735473;1316;5801;TO_DATE('2013-08-31','YYYY-MM-DD');65;12;3;
6423661;1316;5429;TO_DATE('2013-09-01','YYYY-MM-DD');23;25;10;
4704387;1316;5344;TO_DATE('2013-09-12','YYYY-MM-DD');65;12;3;
4504594;3049;5916;TO_DATE('2014-01-07','YYYY-MM-DD');13;17;2;
7870442;3049;6179;TO_DATE('2013-12-27','YYYY-MM-DD');13;17;6;
5420602;3049;5469;TO_DATE('2013-12-30','YYYY-MM-DD');35;24;5;
6147129;3049;6210;TO_DATE('2014-01-03','YYYY-MM-DD');13;17;1;
4525977;3049;4561;TO_DATE('2014-01-03','YYYY-MM-DD');13;17;1;
6496813;3049;6317;TO_DATE('2014-01-06','YYYY-MM-DD');13;17;5;
6376483;1721;5723;TO_DATE('2013-05-08','YYYY-MM-DD');6;1;8;
1728759;2746;6235;TO_DATE('2013-07-30','YYYY-MM-DD');6;26;1;
9507198;2746;5234;TO_DATE('2013-07-29','YYYY-MM-DD');16;24;1;
6012353;2746;6215;TO_DATE('2013-07-20','YYYY-MM-DD');35;18;3;
5025008;2746;5351;TO_DATE('2013-08-01','YYYY-MM-DD');6;26;7;
3394534;2746;4581;TO_DATE('2013-08-01','YYYY-MM-DD');35;18;7;
320627;2746;4952;TO_DATE('2013-07-26','YYYY-MM-DD');16;24;1;
1814990;2746;5792;TO_DATE('2013-07-29','YYYY-MM-DD');6;26;1;
3743353;2746;4525;TO_DATE('2013-07-20','YYYY-MM-DD');18;29;8;
5166169;2746;6234;TO_DATE('2013-07-23','YYYY-MM-DD');43;27;6;
2608636;2818;4577;TO_DATE('2013-08-01','YYYY-MM-DD');18;29;1;
7205645;2818;6033;TO_DATE('2013-07-20','YYYY-MM-DD');16;24;5;
6725959;2818;6296;TO_DATE('2013-08-01','YYYY-MM-DD');43;27;5;
6903047;2818;5223;TO_DATE('2013-07-25','YYYY-MM-DD');18;29;5;
6646670;2818;4900;TO_DATE('2013-07-25','YYYY-MM-DD');16;24;1;
8777419;2818;6134;TO_DATE('2013-07-23','YYYY-MM-DD');35;18;4;
3104994;2818;4576;TO_DATE('2013-07-24','YYYY-MM-DD');43;27;8;
3520868;1480;6077;TO_DATE('2013-08-29','YYYY-MM-DD');53;17;6;
4082210;1480;6272;TO_DATE('2013-08-26','YYYY-MM-DD');61;24;1;
7017493;1330;5654;TO_DATE('2013-08-25','YYYY-MM-DD');37;17;8;
4757655;1330;4621;TO_DATE('2013-08-16','YYYY-MM-DD');37;17;1;
8769407;280;5459;TO_DATE('2013-07-11','YYYY-MM-DD');34;14;1;
5083971;280;5223;TO_DATE('2013-07-06','YYYY-MM-DD');20;26;4;
6779617;280;5049;TO_DATE('2013-07-17','YYYY-MM-DD');30;19;10;
6283074;280;5433;TO_DATE('2013-07-07','YYYY-MM-DD');30;19;3;
8079351;3136;5108;TO_DATE('2014-01-29','YYYY-MM-DD');21;28;5;
